Cell,sector_name,sector_id,focus_area,indicator_name,year,indicator_item,state_name,district_name,indicator_value,indicator_unit,source
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Araria,278,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Arwal,75,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Aurangabad,237,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Banka,241,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Begusarai,354,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Bhagalpur,347,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Bhojpur,300,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Buxar,192,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Darbhanga,248,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Purbi Champaran,318,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Gaya,145,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Gopalganj,165,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Jamui,103,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
